"YEAR","SAMPLE","SERIAL","CBSERIAL","HHWT","CLUSTER","STRATA","GQ","PERNUM","PERWT","NCHILD","NCHLT5","SEX","AGE","MARST","RACE","RACED","HISPAN","HISPAND","EDUC","EDUCD","EMPSTAT","EMPSTATD","INCWAGE","VETSTAT","VETSTATD"
2020,202001,1360,2020010095607,7598.0,2020000013601,10001,4,1,7598.0,0,0,2,19,6,1,100,0,0,7,71,1,10,1100,1,11
2020,202001,2146,2020010150710,8515.0,2020000021461,240001,4,1,8515.0,0,0,2,20,6,2,200,0,0,7,71,1,10,1000,1,11
2020,202001,2670,2020000002284,7467.0,2020000026701,130401,1,1,7467.0,0,0,2,57,6,1,100,0,0,6,63,1,10,15000,1,11
2020,202001,2932,2020000021474,4192.0,2020000029321,250001,1,1,4192.0,0,0,2,51,1,1,100,0,0,10,101,1,10,38000,1,11
2020,202001,2932,2020000021474,4192.0,2020000029321,250001,1,2,3144.0,0,0,1,61,1,1,100,0,0,7,71,1,10,26000,1,11
2020,202001,3063,2020000031685,35501.0,2020000030631,10001,1,1,35501.0,0,0,2,27,6,1,100,0,0,10,101,1,10,38000,1,11
2020,202001,3325,2020000049125,25545.0,2020000033251,130201,1,1,25545.0,0,0,1,20,6,1,100,0,0,6,64,1,10,9700,1,11
2020,202001,3456,2020000058533,10873.0,2020000034561,120001,1,2,16244.0,0,0,2,56,1,1,100,0,0,8,81,1,10,23000,1,11
2020,202001,3587,2020000067451,11528.0,2020000035871,130401,1,4,17161.0,0,0,1,38,6,1,100,0,0,10,101,1,10,63000,1,11
2020,202001,3849,2020000087683,31571.0,2020000038491,120001,1,1,31571.0,2,0,2,34,1,1,100,0,0,7,71,1,10,37000,1,11
2020,202001,3849,2020000087683,31571.0,2020000038491,120001,1,2,31702.0,2,0,1,38,1,1,100,0,0,6,63,1,10,80000,1,11
2020,202001,3980,2020000095831,12576.0,2020000039801,140001,1,1,12576.0,1,0,1,32,1,1,100,0,0,6,63,1,10,25000,1,11
2020,202001,4111,2020000106907,22794.0,2020000041111,30201,1,1,22794.0,1,0,1,48,1,1,100,0,0,10,101,1,10,386000,1,11
2020,202001,4111,2020000106907,22794.0,2020000041111,30201,1,2,22270.0,1,0,2,48,1,1,100,0,0,10,101,1,10,5000,1,11
2020,202001,4504,2020000132998,18864.0,2020000045041,110001,1,1,18864.0,4,0,2,40,1,1,100,0,0,11,114,1,10,15000,1,11
2020,202001,4504,2020000132998,18864.0,2020000045041,110001,1,2,17423.0,4,0,1,53,1,1,100,0,0,10,101,1,10,70000,2,20
2020,202001,4635,2020000141740,8122.0,2020000046351,40001,1,1,8122.0,1,0,2,36,2,5,500,1,100,0,2,1,10,24400,1,11
2020,202001,4635,2020000141740,8122.0,2020000046351,40001,1,2,12314.0,0,0,1,21,2,5,500,1,100,7,71,1,10,35000,1,11
2020,202001,4766,2020000151426,26724.0,2020000047661,50001,1,1,26724.0,0,0,1,38,6,1,100,0,0,11,114,1,10,40000,1,11
2020,202001,5028,2020000169950,7074.0,2020000050281,80001,1,1,7074.0,1,0,1,53,1,1,100,0,0,8,81,1,10,53000,2,20
2020,202001,5028,2020000169950,7074.0,2020000050281,80001,1,2,5502.0,1,0,2,58,1,1,100,0,0,8,81,1,10,15600,1,11
2020,202001,5159,2020000178634,12707.0,2020000051591,60001,1,1,12707.0,1,0,2,57,1,2,200,0,0,7,71,1,10,61000,1,11
2020,202001,5159,2020000178634,12707.0,2020000051591,60001,1,2,18078.0,1,0,1,53,1,2,200,0,0,7,71,1,12,62000,1,11
2020,202001,5159,2020000178634,12707.0,2020000051591,60001,1,3,23318.0,0,0,1,40,2,2,200,0,0,6,63,1,10,59000,1,11
2020,202001,5290,2020000187735,6288.0,2020000052901,60001,1,1,6288.0,0,0,1,60,1,8,826,4,498,11,114,1,10,95000,1,11
2020,202001,5290,2020000187735,6288.0,2020000052901,60001,1,2,4323.0,0,0,2,51,1,1,100,0,0,6,63,1,10,45000,1,11
2020,202001,5552,2020000204466,8253.0,2020000055521,100001,1,1,8253.0,2,0,1,41,1,3,304,0,0,6,65,1,10,45000,1,11
2020,202001,5552,2020000204466,8253.0,2020000055521,100001,1,2,7729.0,2,0,2,39,1,3,304,0,0,8,81,1,10,40000,1,11
2020,202001,5683,2020000212690,51745.0,2020000056831,120001,1,2,134275.0,0,0,2,24,6,2,200,0,0,6,65,1,10,12000,1,11
2020,202001,5814,2020000222761,6026.0,2020000058141,170001,1,1,6026.0,1,0,1,64,1,1,100,0,0,10,101,1,10,60000,1,11
2020,202001,5814,2020000222761,6026.0,2020000058141,170001,1,2,5764.0,1,0,2,64,1,1,100,0,0,11,114,1,10,60000,1,11
2020,202001,6469,2020000271793,21615.0,2020000064691,250001,1,1,21615.0,0,0,2,57,4,1,100,0,0,6,63,1,10,37100,1,11
2020,202001,6600,2020000281660,24497.0,2020000066001,20001,1,1,24497.0,1,1,2,28,4,1,100,0,0,10,101,1,10,39300,1,11
2020,202001,6993,2020000308676,10087.0,2020000069931,80001,1,2,26200.0,1,0,1,39,6,1,100,0,0,6,63,1,10,10300,1,11
2020,202001,7124,2020000318455,10611.0,2020000071241,190001,1,1,10611.0,0,0,2,58,1,1,100,0,0,11,116,1,10,14900,1,11
2020,202001,7124,2020000318455,10611.0,2020000071241,190001,1,2,11266.0,0,0,1,54,1,1,100,0,0,10,101,1,10,61000,1,11
2020,202001,7255,2020000327147,21353.0,2020000072551,80001,1,1,21353.0,2,2,1,33,1,1,100,0,0,7,71,1,10,40000,1,11
2020,202001,7255,2020000327147,21353.0,2020000072551,80001,1,2,20436.0,2,2,2,32,1,1,100,0,0,10,101,1,10,37000,1,11
2020,202001,7386,2020000337007,10349.0,2020000073861,30201,1,1,10349.0,1,0,2,54,4,1,100,0,0,8,81,1,10,64000,1,11
2020,202001,7386,2020000337007,10349.0,2020000073861,30201,1,2,18864.0,0,0,2,21,6,1,100,0,0,7,71,1,10,9200,1,11
2020,202001,7517,2020000346828,13100.0,2020000075171,130201,1,1,13100.0,0,0,1,29,6,1,100,0,0,10,101,1,10,22800,2,20
2020,202001,7648,2020000356476,5240.0,2020000076481,50001,1,1,5240.0,0,0,1,44,6,1,100,0,0,10,101,1,10,65000,1,11
2020,202001,7779,2020000365152,5371.0,2020000077791,270101,1,1,5371.0,1,0,2,55,6,2,200,0,0,7,71,1,10,35000,2,20
2020,202001,7779,2020000365152,5371.0,2020000077791,270101,1,3,10087.0,0,0,2,52,6,2,200,0,0,6,64,1,10,22000,1,11
2020,202001,8041,2020000383230,8253.0,2020000080411,150001,1,1,8253.0,1,0,2,24,6,1,100,0,0,11,115,1,10,7000,1,11
2020,202001,8172,2020000393390,12052.0,2020000081721,270201,1,1,12052.0,0,0,1,25,6,1,100,0,0,11,114,1,10,42000,1,11
2020,202001,8303,2020000403066,4978.0,2020000083031,250001,1,1,4978.0,0,0,1,22,6,1,100,0,0,7,71,1,12,62000,1,11
